GRD Ref,Parent,Source Title,Short Source Title,Source Description,Archival Ref,Archive,Type
SS96/180,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/181,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/182,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/185,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/186,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/188,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/189,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/193,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/194,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/2,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/213,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/214,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/216,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/219,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/220,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/223,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/225,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/23,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/236,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/237,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/24,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/25,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/254,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/28,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/29,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/3,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/30,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/32,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/35,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/39,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/40,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/41,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/42,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/44,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/45,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/48,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/49,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/5,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/51,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/53,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/54,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/55,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/56,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/59,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/64,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/65,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/68,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/7,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/70,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/72,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/74,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/75,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/78,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/8,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/80,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/82,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/83,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/85,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/85n,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/86,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/89,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/9,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/90,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/91,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/93,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
SS96/95,,"Registers of admissions to the freedom of the city of York, [1272]-twentieth century",York freemen's register,,Y/COU/3/1,York Explore Library and Archives,Archival
Stell,,"Stell, P.M. (ed.) Sheriffs’ Court Books of the City of York 1471-1500, York (1999). ","Stell, York Sheriff's Court Books","Note that the index references in this valuable source are misleading, usually incorrect by six pages.",Y/ORD/5/1,York Explore Library and Archives,Book
SW,,"Whittle, S.J. (ed.) The Court Rolls of Yeadon 1361-1476, Draughton (1984).","Whittle, Yeadon Court Rolls ",,,,Book
SYC,,"Benson, J. & Neville R.G. Studies in the Yorkshire Coal Industry, Manchester University Press (1976)","Benson & Neville, Yorkshire Coal Industry",,,,Book
Th,,Publications of the Thoresby Society.,Thoresby Society Publications,"Founded in 1889, the Thoresby Society is dedicated to the history of Leeds and the surrounding area, and volumes are published annually.",,,Book
Th1/136,,"Will of Edward Iles, Kirkgate in Leeds, 20 October 1586","Edward Iles' will, 1586",,Prob Reg 23 f. 296,Borthwick Institute for Archives,Archival
Th1/15,,"Composite Register of baptisms, marriages and burials for Leeds Minster, 1572-1589","Leeds Minster register, 1572-1589",,RDP68/1/1,West Yorkshire Archive Service: Leeds,Archival
Th1/152,,"Composite Register of baptisms, marriages and burials for Leeds Minster, 1572-1589","Leeds Minster register, 1572-1589",,RDP68/1/1,West Yorkshire Archive Service: Leeds,Archival
Th1/382,,"Will of John Dickson, Leeds, 2 March  1587","John Dickson's will, 1587",,Prob Reg 23 f. 667,Borthwick Institute for Archives,Archival
Th1/383,,"Will of William Sydall, Holbeck p. Leeds, 9 February  1587","William Sydall's will, 1587",,Prob Reg 23 f. 648,Borthwick Institute for Archives,Archival
Th1/388,,"Will of Richard Collingworthe, Bramley p. Leeds, 29 August 1591","Richard Collingworthe's will, 1591",,Prob Reg 24 f. 681,Borthwick Institute for Archives,Archival
Th1/62,,"Composite Register of baptisms, marriages and burials for Leeds Minster, 1572-1589","Leeds Minster register, 1572-1589",,RDP68/1/1,West Yorkshire Archive Service: Leeds,Archival
Th1/98n,,"Will of Richard Banys, Leeds, 1511","Richard Banys' will, 1511",,Prob Reg 8 f. 90,Borthwick Institute for Archives,Archival
Th11/272,,"Churchwardens' accounts 1681-1705 from the parish book for Methley, 1639-1797",Methley churchwardens' accounts,,RDP76/8/1,West Yorkshire Archive Service: Leeds,Archival
Th11/279,,"Churchwardens' accounts 1681-1705 from the parish book for Methley, 1639-1797",Methley churchwardens' accounts,,RDP76/8/1,West Yorkshire Archive Service: Leeds,Archival
Th11/38,,"Will of Charles Hedon, bur. Harwood, 29 May 1531","Charles Hedon's will, 1531",,Prob Reg 10 f. 58,Borthwick Institute for Archives,Archival
Th11/43,,"Will of Rauf Aunger, Barwick in Elmet, 6 October 1531","Rauf Aunger's will, 1531",,Prob Reg 10 f. 80,Borthwick Institute for Archives,Archival
Th11/46,,"Will of Margaret Newby, Kirk Fenton, 18 March 1531","Margaret Newby's will, 1531",,Prob Reg 11 f. 6 & 34,Borthwick Institute for Archives,Archival
Th11/48,,"Will of Elisabeth Shaw, York, 8 August 1532","Elisabeth Shaw's will, 1532",,Prob Reg 11 f. 15,Borthwick Institute for Archives,Archival
Th11/50,,"Will of Agnes Hemsworthe, Swillington, 13 November 1532","Agnes Hemsworthe's will, 1532",,Prob Reg 11 f. 32,Borthwick Institute for Archives,Archival
Th11/55,,"Will of Robert Hemsworth, Swillington, 1 June 1530","Robert Hemsworth's will, 1530",,Prob Reg 11 f. 44,Borthwick Institute for Archives,Archival
Th11/60/1,,"Will of John Dawson, Sherburn, 15 February 1531","John Dawson's will, 1531",,Prob Reg 11 f. 57,Borthwick Institute for Archives,Archival
Th11/60/2,,"Will of Thomas Rawson, Featherstone, 12 July 1533","Thomas Rawson's will, 1533",,Prob Reg 11 f. 60,Borthwick Institute for Archives,Archival
Th11/66,,"Will of William Mitteley, Little Preston p. Kippax, 28 January 1533","William Mitteley's will, 1533",,Prob Reg 11 f. 83,Borthwick Institute for Archives,Archival
Th11/80,,"Note-book of Captain John Pickering, in Miscellanea, Thoresby Society Vol. 11 (Leeds, 1904)",Thoresby Society vol. 11,,p. 80,,Book
Th11/85,,"Note-book of Captain John Pickering, in Miscellanea, Thoresby Society Vol. 11 (Leeds, 1904)",Thoresby Society vol. 11,,p. 80,,Book
Th11/92,,"Note-book of Captain John Pickering, in Miscellanea, Thoresby Society Vol. 11 (Leeds, 1904)",Thoresby Society vol. 11,,p. 80,,Book
Th11/93,,"Note-book of Captain John Pickering, in Miscellanea, Thoresby Society Vol. 11 (Leeds, 1904)",Thoresby Society vol. 11,,p. 80,,Book
Th11/99,,"Note-book of Captain John Pickering, in Miscellanea, Thoresby Society Vol. 11 (Leeds, 1904)",Thoresby Society vol. 11,,p. 80,,Book
Th13/185,,"Composite Register of baptisms, marriages and burials for Leeds Minster, 1695-1712/13","Leeds Minster register, 1695-1712/13",,RDP68/1/9,West Yorkshire Archive Service: Leeds,Archival
Th15/160,,"Manor court rolls for Thorner, June 1364-December 1365",,,MX/M10/1/5,West Yorkshire Archive Service: Leeds,Archival
Th15/163,,"Manor court rolls for Thorner, June 1364-December 1365",,,MX/M10/1/5,West Yorkshire Archive Service: Leeds,Archival
Th15/168,,"Manor court rolls for Thorner, June 1364-December 1365",,,MX/M10/1/5,West Yorkshire Archive Service: Leeds,Archival
Th15/170,,"Manor court rolls for Thorner, June 1364-December 1365",,,MX/M10/1/5,West Yorkshire Archive Service: Leeds,Archival
Th15/274,,"Application for leave by Thomas Elston to fence part of Chapel Allerton common, 14 May 1705",Application to fence Chapel Allerton common,,YAS/MD86,"Special Collections, Brotherton Library, University of Leeds",Archival
Th15/277,,"Note-book of Captain John Pickering, in Miscellanea, Thoresby Society Vol. 11 (Leeds, 1904)",Thoresby Society vol. 11,,p. 80,,Book
Th19/10,,"Will of Robert Casson, Leeds, 19 March 1539","Robert Casson's will, 1539",,Prob Reg 11 f. 408,Borthwick Institute for Archives,Archival
Th19/100,,"Will of Henrie Skott, Girdersome bur. Batley, 7 May 1544","Henrie Skott's will, 1544",,Prob Reg 11 f. 748,Borthwick Institute for Archives,Archival
Th19/102,,"Will of Margerie Berre, Wakefelde, 21 July 1544","Margerie Berre's will, 1544",,Prob Reg 11 f. 757,Borthwick Institute for Archives,Archival
Th19/103,,"Will of Margerie Berre, Wakefelde, 21 July 1544","Margerie Berre's will, 1544",,Prob Reg 11 f. 757,Borthwick Institute for Archives,Archival
Th19/104,,"Will of Robert Whit, Normanton, 24 July 1544","Robert Whit's will, 1544",,Prob Reg 11 f. 759,Borthwick Institute for Archives,Archival
Th19/106,,"Will of Elisabeth Henrison, Pontefract, 25 August 1544","Elisabeth Henrison's will, 1544",,Prob Reg 11 f. 762,Borthwick Institute for Archives,Archival
Th19/107,,"Will of Margaret Hall, Sherborne in Elmet, 10 September 1544","Margaret Hall's will, 1544",,Prob Reg 11 f. 767,Borthwick Institute for Archives,Archival
Th19/11,,"Will of Elisabeth Tailior, Woodkirke, 24 December 1539","Elisabeth Tailior's will, 1539",,Prob Reg 11 f. 409,Borthwick Institute for Archives,Archival
Th19/116,,"Will of Elisabeth Birkhede, Wakefelde, 17 June 1545","Elisabeth Birkhede's will, 1545",,Prob Reg 13 f. 27,Borthwick Institute for Archives,Archival
Th19/117,,"Will of Anne Yedon, Yedon p. Guiseley, 30 June 1545","Anne Yedon's will, 1545",,Prob Reg 13 f. 32,Borthwick Institute for Archives,Archival
Th19/119,,"Will of William Chamber, Compton p. Collingham, 22 June 1545","William Chamber's will, 1545",,Prob Reg 13 f. 35,Borthwick Institute for Archives,Archival
Th19/12,,"Will of Alison Barker, Scarcroft bur. Thorner, 14 April 1540","Alison Barker's will, 1540",,Prob Reg 11 f. 410,Borthwick Institute for Archives,Archival
Th19/120,,"Will of William Chamber, Compton p. Collingham, 22 June 1545","William Chamer's will, 1545",,Prob Reg 13 f. 35,Borthwick Institute for Archives,Archival
Th19/121,,"Will of Margaret Bradley, Farnley p. Otley, 15 July 1545","Margaret Bradley's will, 1545",,Prob Reg 13 f. 38,Borthwick Institute for Archives,Archival
Th19/122,,"Will of Elen Smythe, Powll p. Otley, 15 July 1545","Elen Smythe's will, 1545",,Prob Reg 13 f. 38,Borthwick Institute for Archives,Archival
Th19/129,,"Will of William Cowper, Leeds, 4 November 1545","William Cowper's will, 1545",,Prob Reg 13 f. 68,Borthwick Institute for Archives,Archival
Th19/133,,"Will of William Cowper, Leeds, 4 November 1545","William Cowper's will, 1545",,Prob Reg 13 f. 68,Borthwick Institute for Archives,Archival
Th19/155,,"Will of John Gennynge, Seacroft p. Whitkirk, 26 March 1546","John Gennynge's will, 1546",,Prob Reg 13 f. 129,Borthwick Institute for Archives,Archival
Th19/14,,"Will of John Smythe, Spofforde, 4 September 1540","John Smythe's will, 1540",,Prob Reg 11 f. 426,Borthwick Institute for Archives,Archival
Th19/140,,"Will of John Laike, Featherstone, 26 October 1545","John Laike's will, 1545",,Prob Reg 13 f. 98,Borthwick Institute for Archives,Archival
Th19/141,,"Will of Richard Pawson, Lyndley p. Otley, 22 January 1545","Richard Pawson's will, 1545",,Prob Reg 13 f. 105,Borthwick Institute for Archives,Archival
Th19/142,,"Will of Robert Nelson, Monk Fryston, 22 January 1545","Robert Nelson's will, 1545",,Prob Reg 13 f. 106,Borthwick Institute for Archives,Archival
Th19/146,,"Will of Oliver Addie, Wakefield, 26 January 1545","Oliver Addie's will, 1545",,Prob Reg 13 f. 107,Borthwick Institute for Archives,Archival
Th19/148,,"Will of Matthew Levens, Wakefield, 26 January 1545","Matthew Leven's will, 1545",,Prob Reg 13 f. 108,Borthwick Institute for Archives,Archival
Th19/151,,"Will of Thomas Kaye, Wakefield, 11 March 1545","Thomas Kaye's will, 1545",,Prob Reg 13 f. 123,Borthwick Institute for Archives,Archival
Th19/153,,"Will of John Townende, Woodkirke, 11 March 1545","John Townende's will, 1545",,Prob Reg 13 f. 123,Borthwick Institute for Archives,Archival
Th19/160,,"Will of Richard Ambler, Leeds, 18 June 1546","Richard Ambler's will, 1546",,Prob Reg 13 f. 176,Borthwick Institute for Archives,Archival
Th19/162-3,,"Will of Thomas Grice, Wakefield, 21 June 1546","Thomas Grice's will, 1546",,Prob Reg 13 f. 178,Borthwick Institute for Archives,Archival
Th19/164/1,,"Will of Thomas Grice, Wakefield, 21 June 1546","Thomas Grice's will, 1546",,Prob Reg 13 f. 178,Borthwick Institute for Archives,Archival
Th19/164/2,,"Will of John Atkynson, Spofforth, 28 June 1546","John Atkynson's will, 1546",,Prob Reg 13 f. 181,Borthwick Institute for Archives,Archival
Th19/166,,"Will of Thomas Penson, Wakefield, 4 August 1546","Thomas Penson's will, 1546",,Prob Reg 13 f. 193,Borthwick Institute for Archives,Archival
Th19/167,,"Will of John Sikes, South Mylforde, 7 August 1546","John Sike's will, 1546",,Prob Reg 13 f. 194,Borthwick Institute for Archives,Archival
Th19/168,,"Will of John Bramham, Ledston p. Ledsham, 1 October 1546","John Bramham's will, 1546",,Prob Reg 13 f. 206,Borthwick Institute for Archives,Archival
Th19/169,,"Will of Agnes Hargrave, Leeds, 30 September 1546","Agnes Hargrave's will, 1546",,Prob Reg 13 f. 207,Borthwick Institute for Archives,Archival
Th19/174,,"Will of Charles Thompson, Methley, 3 December 1546","Charles Thompson's will, 1546",,Prob Reg 13 f. 243,Borthwick Institute for Archives,Archival
Th19/179,,"Will of Lady Jane Skargill, Lead Hall Whitkirk, 24 January 1546","Lady Jane Skargill's will, 1546",,Prob Reg 13 f. 281,Borthwick Institute for Archives,Archival
Th19/183,,"Will of William Newbie, Kirk Fenton, February 1546/7","William Newbie's will, 1546/7",,Prob Reg 13 f. 291,Borthwick Institute for Archives,Archival
Th19/184,,"Will of Alice Webster, Great Preston, February 1546","Alice Webster's will, 1546",,Prob Reg 13 f. 292,Borthwick Institute for Archives,Archival
Th19/186,,"Will of John Reyme, Leeds, 28 April 1547","John Reyme's will, 1547",,Prob Reg 13 f. 296,Borthwick Institute for Archives,Archival
Th19/187,,"Will of Agnes Water, Great Preston, 28 April 1547","Agnes Water's will, 1547",,Prob Reg 13 f. 297,Borthwick Institute for Archives,Archival
Th19/19,,"Will of John Fox, Featherstone, 20 July 1540","John Fox's will, 1540",,Prob Reg 11 f. 446,Borthwick Institute for Archives,Archival
Th19/199,,"Will of William Hernynge, Wakefield, 21 February 1547","William Hernynge's will, 1547",,Prob Reg 13 f. 375,Borthwick Institute for Archives,Archival
Th19/2/1,,"Will of Robert Heryson, Pontefract, 12 December 1538","Robert Heryson's will, 1538",,Prob Reg 11 f. 345,Borthwick Institute for Archives,Archival
Th19/2/2,,"Will of John Alande, Spofforthe, 3 June 1539","John Alande's will, 1539",,Prob Reg 11 f. 363,Borthwick Institute for Archives,Archival
Th19/200/1,,"Will of William Crowder, Morley, 21 February 1547","William Crowder's will, 1547",,Prob Reg 13 f. 376,Borthwick Institute for Archives,Archival
Th19/200/2,,"Will of William Hungaite, Saxton, 19 April 1548","William Hungaite's will, 1548",,Prob Reg 13 f. 379,Borthwick Institute for Archives,Archival
Th19/203,,"Will of Margaret Jenkinson, Leathley, 13 June 1548","Margaret Jenkinson's will, 1548",,Prob Reg 13 f. 393,Borthwick Institute for Archives,Archival
Th19/210,,"Will of Thomas Crosse, Hoghton p. Castleford, 7 November 1548","Thomas Crosse's will, 1548",,Prob Reg 13 f. 439,Borthwick Institute for Archives,Archival
Th19/211,,"Will of Nicholas Wilson, Sherburn in Elmet, 23 October 1548","Nicholas Wilson's will, 1548",,Prob Reg 13 f. 448,Borthwick Institute for Archives,Archival
Th19/216,,"Will of John Bucktrowte, Aberford, 19 January 1548","John Bucktrowte's will, 1548",,Prob Reg 13 f. 469,Borthwick Institute for Archives,Archival
Th19/221,,"Will of Thomas Booreman, South Milford, 8 May 1549","Thomas Booreman's will, 1549",,Prob Reg 13 f. 490,Borthwick Institute for Archives,Archival
Th19/223,,"Will of William Arthingeton, Knottingley, 8 May 1549","William Arthingeton's will, 1549",,Prob Reg 13 f. 490,Borthwick Institute for Archives,Archival
Th19/230,,"Will of John Threeplande, Wakefield, 27 June 1549","John Threeplande's will, 1549",,Prob Reg 13 f. 536,Borthwick Institute for Archives,Archival
Th19/231,,"Will of John Threeplande, Wakefield, 27 June 1549","John Threeplande's will, 1549",,Prob Reg 13 f. 536,Borthwick Institute for Archives,Archival
Th19/235,,"Will of Rawf Beyston, Beyston, 11 September 1549","Rawf Beyston's will, 1549",,Prob Reg 13 f. 549,Borthwick Institute for Archives,Archival
Th19/244,,"Will of John Browne, Wakefield, 23 April 1550","John Browne's will, 1550",,Prob Reg 13 f. 612,Borthwick Institute for Archives,Archival
Th19/247,,"Will of Thomas Nalson, Normanton, 16 June 1550","Thomas Nalson's will, 1550",,Prob Reg 13 f. 638,Borthwick Institute for Archives,Archival
Th19/249,,"Will of William Windle, Thorner, 2 October 1550","William Windle's will, 1550",,Prob Reg 13 f. 652,Borthwick Institute for Archives,Archival
Th19/26,,"Will of Edward Hansone, Wakefield, 5 February 1540","Edward Hansone's will, 1540",,Prob Reg 11 f. 496,Borthwick Institute for Archives,Archival
Th19/261,,"Will of Thomas Grenewod, Wakefield, 14 February 1550","Thomas Grenwod's will, 1550",,Prob Reg 13 f. 700,Borthwick Institute for Archives,Archival
Th19/262,,"Will of Thomas Grenewod, Wakefield, 14 February 1550","Thomas Grenwod's will, 1550",,Prob Reg 13 f. 700,Borthwick Institute for Archives,Archival
Th19/262,,"Will of William Burghe, Woodkirk, 14 February 1550","William Burghe's will, 1550",,Prob Reg 13 f. 701,Borthwick Institute for Archives,Archival
Th19/266,,"Will of Robert Wright, Altofts bur. Normanton, 15 April 1551","Robert Wright's will, 1551",,Prob Reg 13 f. 715,Borthwick Institute for Archives,Archival
Th19/274,,"Will of John Admergill, Burley p. Leeds, 10 July 1551","John Admergill's will, 1551",,Prob Reg 13 f. 748,Borthwick Institute for Archives,Archival
Th19/285,,"Will of John Smyth, Wakefield, 30 September 1551","John Smyth's will, 1551",,Prob Reg 13 f. 775,Borthwick Institute for Archives,Archival
Th19/288,,"Will of Robert Crofte, Collingham, 14 October 1551","Robert Crofte's will, 1551",,Prob Reg 13 f. 784,Borthwick Institute for Archives,Archival
Th19/289,,"Will of Lyonell Roulston the younger, Pontefract, 14 October 1551","Lyonell Roulston's will, 1551",,Prob Reg 13 f. 791,Borthwick Institute for Archives,Archival
Th19/292,,"Will of John Bywater, Fairburn p. Ledsham, 16 December 1551","John Bywater's will, 1551",,Prob Reg 13 f. 810,Borthwick Institute for Archives,Archival
Th19/3,,"Will of William Smythe, Methley, 1 July 1539","William Smythe's will, 1539",,Prob Reg 11 f. 371,Borthwick Institute for Archives,Archival
Th19/300,,"Will of Henry Beverley, Garforth Moorhouse, 15 February 1551","Henry Beverley's will, 1551",,Prob Reg 13 f. 824,Borthwick Institute for Archives,Archival
Th19/301,,"Will of Henry Beverley, Garforth Moorhouse, 15 February 1551","Henry Beverley's will, 1551",,Prob Reg 13 f. 824,Borthwick Institute for Archives,Archival
Th19/310,,"Will of Alice Atkinson, Pontefract, 5 May 1552","Alice Atkinson's will, 1552",,Prob Reg 13 f. 870,Borthwick Institute for Archives,Archival
Th19/311,,"Will of Richard Ferborne [Hewet], Fairburn in Ledsham, 21 June 1552","Richard Ferborne's will, 1552",,Prob Reg 13 f. 883,Borthwick Institute for Archives,Archival
Th19/314,,"Will of Roger Atkynsone, Pontefract, 28 June 1552","Roger Atkynsone's will, 1552",,Prob Reg 13 f. 887,Borthwick Institute for Archives,Archival
Th19/317,,"Will of Richard Rideall, Hardwicke p. Pontefract, 5 September 1552","Richard Rideall's will, 1552",,Prob Reg 13 f. 903,Borthwick Institute for Archives,Archival
Th19/318/1,,"Will of Richard Rideall, Hardwicke p. Pontefract, 5 September 1552","Richard Rideall's will, 1552",,Prob Reg 13 f. 903,Borthwick Institute for Archives,Archival
Th19/318/2,,"Will of Henry Awstwicke, Pomfrett, 5 September 1552","Henry Awstwicke's will, 1552",,Prob Reg 13 f. 903,Borthwick Institute for Archives,Archival
Th19/319,,"Will of Edmunde Shercrofte, Barston p. Saxton, 17 September 1552","Edmunde Shercrofte's will, 1552",,Prob Reg 13 f. 904,Borthwick Institute for Archives,Archival
Th19/320,,"Will of William Skypton, Pontefract, 5 October 1552","William Skypton's will, 1552",,Prob Reg 13 f. 906,Borthwick Institute for Archives,Archival
Th19/322,,"Will of Robert Ussher, Featherstone, 5 October 1552","Robert Ussher's will, 1552",,Prob Reg 13 f. 911,Borthwick Institute for Archives,Archival
